upc,cedis,cluster,model,origin,protection_period_days,on_hand_as_of,sales_after_snapshot,on_hand_projected,demand_p50,demand_p90,demand_mean,service_level_target,safety_stock_policy,safety_stock_quantile,safety_stock,safety_stock_binding,order_up_to,moq,order_qty,implied_service_level,expected_fill_rate,expected_lost_sales,days_of_cover_after_order,unit_value,working_capital,stock_value_after_order,ma4_order_qty,ma4_service_level,ma4_expected_lost_sales,ma4_working_capital,ly_order_qty,ly_service_level,ly_working_capital,delta_working_capital_vs_ma4,delta_service_level_vs_ma4,delta_lost_sales_vs_ma4,fq_order_up_to,fq_order_qty,fq_service_level,fq_expected_lost_sales,fq_working_capital,target_stock_value,fq_target_stock_value,flags
750101310581,VHSA,B-Y,lgbm,2026-03-30,14,2348.0000,172.0000,2176.0000,612.2288,721.9982,617.3190,0.9000,306.1144,109.7694,306.1144,policy_days,918.3432,100,0.0000,1.0000,1.0000,0.0000,49.7592,50.5932,0.0000,110090.8478,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,721.9982,0.0000,1.0000,0.0000,0.0000,46461.9390,36528.2118,
750101310695,CCUL,B-Y,lgbm,2026-03-30,14,8229.0000,634.0000,7595.0000,3384.1443,3806.5599,3398.4286,0.9000,1692.0722,422.4156,1692.0722,policy_days,5076.2165,100,0.0000,1.0000,1.0000,0.0000,31.4201,23.1622,0.0000,175916.8894,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,3806.5599,0.0000,1.0000,0.0000,0.0000,117576.3284,88168.2930,
750101310695,CMD2,B-Y,lgbm,2026-03-30,14,8985.0000,4821.4069,4163.5931,21284.7327,23271.1971,21336.3837,0.9000,10642.3663,1986.4644,10642.3663,policy_days,31927.0990,100,27800.0000,1.0000,1.0000,0.0000,21.0240,23.1387,643255.1701,739595.1981,25700.0000,1.0000,0.0002,594663.9523,29900.0000,1.0000,691846.3880,48591.2179,0.0000,-0.0002,23271.1971,19200.0000,0.9096,70.1953,444262.5636,738750.7736,538464.6714,
750101310695,CMTY,B-Y,lgbm,2026-03-30,14,7332.0000,1038.0205,6293.9795,4927.5988,5569.7000,4950.1580,0.9000,2463.7994,642.1011,2463.7994,policy_days,7391.3983,100,1100.0000,1.0000,1.0000,0.0017,21.0073,22.8677,25154.5141,169083.6011,800.0000,0.9999,0.0112,18294.1921,2000.0000,1.0000,45735.4802,6860.3220,0.0001,-0.0095,5569.7000,0.0000,0.9948,1.0265,0.0000,169024.5742,127366.4513,
750101310695,MXLI,B-Y,lgbm,2026-03-30,14,8541.0000,493.9124,8047.0876,2125.0076,2537.9926,2145.5108,0.9000,1062.5038,412.9850,1062.5038,policy_days,3187.5114,100,0.0000,1.0000,1.0000,0.0000,53.0159,22.9489,0.0000,184671.6570,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,2537.9926,0.0000,1.0000,0.0000,0.0000,73149.8207,58244.0903,
750101310695,TLJ,B-Y,lgbm,2026-03-30,14,8810.0000,1271.9936,7538.0064,6126.5755,6823.4685,6148.2612,0.9000,3063.2878,696.8930,3063.2878,policy_days,9189.8633,100,1700.0000,1.0000,1.0000,0.0001,21.1100,23.3405,39678.8580,215619.7313,1200.0000,1.0000,0.0019,28008.6057,3000.0000,1.0000,70021.5142,11670.2524,0.0000,-0.0019,6823.4685,0.0000,0.9932,1.4459,0.0000,214496.0478,159263.1996,
750101310695,VHSA,B-Y,lgbm,2026-03-30,14,9537.0000,765.0000,8772.0000,3755.7311,4445.2310,3788.3540,0.9000,1877.8655,689.4999,1877.8655,policy_days,5633.5966,100,0.0000,1.0000,1.0000,0.0000,32.6988,22.9910,0.0000,201677.4050,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,4445.2310,0.0000,1.0000,0.0000,0.0000,129522.2458,102200.4846,
750101310968,CMD2,B-Y,lgbm,2026-03-30,14,53998.0000,32528.4822,21469.5178,98611.2705,123324.2123,100124.1330,0.9000,49305.6352,24712.9418,49305.6352,policy_days,147916.9057,100,126500.0000,0.9900,0.9991,92.7228,21.0075,20.4949,2592609.9059,3032626.3845,130800.0000,0.9936,57.9889,2680738.1478,182100.0000,1.0000,3732128.5681,-88128.2419,-0.0036,34.7339,123324.2123,101900.0000,0.9004,1093.2966,2088434.3827,3031548.1024,2527522.3268,
750101310968,TLJ,B-Y,lgbm,2026-03-30,14,50608.0000,8757.8264,41850.1736,31824.8652,40312.7840,32371.0452,0.9000,15912.4326,8487.9189,15912.4326,policy_days,47737.2977,100,5900.0000,0.9861,0.9986,45.8465,21.0057,20.3637,120145.9788,972371.4150,3800.0000,0.9747,85.9048,77382.1558,22400.0000,0.9999,456147.4449,42763.8230,0.0113,-40.0583,40312.7840,0.0000,0.9312,252.5333,0.0000,972109.2138,820918.4570,
750101310968,VHSA,B-Y,lgbm,2026-03-30,14,49144.0000,4882.4158,44261.5842,19246.5333,22607.3830,19398.9112,0.9000,9623.2666,3360.8497,9623.2666,policy_days,28869.7999,100,0.0000,1.0000,1.0000,0.0000,32.1960,20.6228,0.0000,912799.8155,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,22607.3830,0.0000,1.0000,0.0000,0.0000,595377.4263,466228.5681,
750101310975,CCUL,B-Y,lgbm,2026-03-30,14,8737.0000,597.0000,8140.0000,3173.0565,4191.0246,3248.7353,0.9000,1586.5282,1017.9681,1586.5282,policy_days,4759.5847,100,0.0000,1.0000,1.0000,0.0028,35.9149,44.5788,0.0000,362871.6682,0.0000,1.0000,0.0028,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,4191.0246,0.0000,1.0000,0.0028,0.0000,212176.7142,186830.9670,
750101310548,CCUL,B-Z,lgbm,2026-03-30,14,9803.0000,671.0000,9132.0000,3240.3802,3845.7220,3269.4472,0.9000,3240.3802,605.3418,3240.3802,policy_days,6480.7604,100,0.0000,1.0000,1.0000,0.0000,39.4546,21.6690,0.0000,197881.3739,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,3845.7220,0.0000,1.0000,0.0000,0.0000,140431.6432,83332.9780,
750101310548,CMD2,B-Z,lgbm,2026-03-30,14,13038.0000,8767.2870,4270.7130,30557.6409,37245.6250,30924.2371,0.9000,30557.6409,6687.9841,30557.6409,policy_days,61115.2817,100,56900.0000,1.0000,1.0000,0.0070,28.0254,21.9265,1247615.7215,1341257.3504,57000.0000,1.0000,0.0066,1249808.3677,69800.0000,1.0000,1530467.0889,-2192.6463,-0.0000,0.0003,37245.6250,33000.0000,0.9008,288.3622,723573.2655,1340041.9383,816664.8032,
750101310548,CMTY,B-Z,lgbm,2026-03-30,14,9050.0000,1745.7884,7304.2116,7161.9296,8488.1153,7225.1359,0.9000,7161.9296,1326.1857,7161.9296,policy_days,14323.8592,100,7100.0000,1.0000,1.0000,0.0000,28.1571,21.2716,151028.1694,306400.2406,7200.0000,1.0000,0.0000,153155.3267,6300.0000,1.0000,134010.9108,-2127.1573,-0.0000,0.0000,8488.1153,1200.0000,0.9025,54.7679,25525.8878,304691.0182,180555.5657,
750101310548,MXLI,B-Z,lgbm,2026-03-30,14,10825.0000,610.0973,10214.9027,2477.3353,2918.7421,2497.6957,0.9000,2477.3353,441.4068,2477.3353,policy_days,4954.6706,100,0.0000,1.0000,1.0000,0.0000,57.7268,21.3149,0.0000,217729.1678,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,2918.7421,0.0000,1.0000,0.0000,0.0000,105608.0845,62212.5637,
750101310548,TLJ,B-Z,lgbm,2026-03-30,14,10107.0000,1913.9438,8193.0562,7267.5277,9068.3274,7376.7653,0.9000,7267.5277,1800.7997,7267.5277,policy_days,14535.0554,100,6400.0000,1.0000,1.0000,0.0160,28.1117,21.6468,138539.3634,315892.6116,6500.0000,1.0000,0.0134,140704.0409,8700.0000,1.0000,188326.9471,-2164.6776,-0.0000,0.0025,9068.3274,900.0000,0.9027,77.4087,19482.0980,314637.0809,196300.0480,
750101310548,VHSA,B-Z,lgbm,2026-03-30,14,11944.0000,1004.0000,10940.0000,4242.5123,5139.8850,4290.3306,0.9000,4242.5123,897.3728,4242.5123,policy_days,8485.0245,100,0.0000,1.0000,1.0000,0.0000,36.1013,21.9289,0.0000,239902.4270,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,5139.8850,0.0000,1.0000,0.0000,0.0000,186067.4568,112712.1475,
750101310551,CCUL,B-Z,lgbm,2026-03-30,14,2854.0000,131.0000,2723.0000,885.3762,1185.1357,908.5947,0.9000,885.3762,299.7594,885.3762,policy_days,1770.7524,100,0.0000,1.0000,1.0000,0.0000,43.0574,44.5052,0.0000,121187.7466,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1185.1357,0.0000,1.0000,0.0000,0.0000,78807.7471,52744.7374,
750101310551,CMD2,B-Z,lgbm,2026-03-30,14,3343.0000,963.0000,2380.0000,5108.5042,6240.2026,5171.1600,0.9000,5108.5042,1131.6984,5108.5042,policy_days,10217.0083,100,7900.0000,1.0000,1.0000,0.0013,28.1726,44.3825,350621.5058,456251.7822,8000.0000,1.0000,0.0010,355059.7527,8600.0000,1.0000,381689.2342,-4438.2469,-0.0000,0.0003,6240.2026,3900.0000,0.9070,45.4667,173091.6294,453456.0571,276955.5972,
750101310551,CMTY,B-Z,lgbm,2026-03-30,14,2520.0000,129.0000,2391.0000,596.9064,748.8684,606.3276,0.9000,596.9064,151.9620,596.9064,policy_days,1193.8128,100,0.0000,1.0000,1.0000,0.0000,56.0791,44.1204,0.0000,105491.9593,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,748.8684,0.0000,1.0000,0.0000,0.0000,52671.5398,33040.3992,
750101310551,MXLI,B-Z,lgbm,2026-03-30,14,2757.0000,31.0000,2726.0000,130.5415,185.2898,135.5085,0.9000,130.5415,54.7482,130.5415,policy_days,261.0831,100,0.0000,1.0000,1.0000,0.0000,292.3514,44.2734,0.0000,120689.4060,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,185.2898,0.0000,1.0000,0.0000,0.0000,11559.0476,8203.4162,
