upc,cedis,cluster,date,on_hand,stores_reporting,stockout_store_share,daily_mean_7d,demand_7d_p50,demand_7d_p90,cover_days,cover_threshold,p_stockout_7d,alert_cover,alert_prob,alert_iforest,iforest_score,severity
539153751156,CMD2,A-Z,2026-04-02,1672.0,69,0.028985507246376812,0.01494145704310444,0.10459019930173108,6.81266427074393,111903.41043557307,21,5.0680792895718696e-11,False,False,True,0.5863630992568609,medium
750101310278,TLJ,A-Z,2026-04-02,25015.0,452,0.01327433628318584,1559.1020956379482,10913.714669465637,12845.338222339637,16.044491294051173,21,3.4461655751272247e-11,True,False,False,0.3825604431203878,medium
750101310054,TLJ,A-Y,2026-04-02,6958.0,243,0.012345679012345678,205.88117760521195,1441.1682432364837,1943.469373330628,33.79619293485067,14,7.506550936398071e-12,False,False,True,0.5815621243728448,medium
750101310546,TLJ,A-Z,2026-04-02,12923.0,202,0.024752475247524754,767.8607730584761,5375.025411409332,6280.91718318153,16.829873921708792,21,2.636779683484747e-13,True,False,False,0.38183893865891866,medium
750101310577,CMTY,B-Z,2026-04-02,2644.0,69,0.057971014492753624,131.4996993033686,920.4978951235802,1097.600637621238,20.106509855207474,21,7.66053886991358e-15,True,False,False,0.3792903245084892,medium
750101310548,CMTY,B-Z,2026-04-02,9050.0,144,0.020833333333333332,497.6196844345698,3483.3377910419886,4067.512860170449,18.186579596993315,21,1.4432899320127035e-15,True,False,False,0.40796955310500177,medium
750101310448,CMD2,A-Z,2026-04-02,2242.0,71,0.04225352112676056,0.0,0.0,13.273087927436652,2242000000.0,21,0.0,False,False,True,0.5979451747951019,medium
750101310546,VHSA,A-Z,2026-04-02,14673.0,199,0.03015075376884422,713.3975536643666,4993.782875650566,5733.174427460982,20.567774482309527,21,0.0,True,False,False,0.3680746438766438,medium
750101310692,MXLI,B-Z,2026-04-02,3449.0,79,0.05063291139240506,37.79061116165353,264.5342781315747,337.237189931746,91.26605508565395,21,0.0,False,False,True,0.5788369116654609,medium
750101310694,TLJ,B-Z,2026-04-02,17272.0,79,0.02531645569620253,1000.9795814940582,7006.857070458407,8004.983217324149,17.255097226079158,21,0.0,True,False,False,0.37911445002841043,medium
750101310478,TLJ,A-Y,2026-04-02,3050.0,85,0.047058823529411764,184.43987866681937,1291.0791506677356,1871.161904933344,16.536553927741732,14,0.0014943413869782374,False,False,False,0.4079358660198335,none
750101310014,MXLI,A-Z,2026-04-02,3515.0,76,0.02631578947368421,104.55254753631642,731.867832754215,1426.5565380530118,33.61945818468997,21,0.0012929406334851734,False,False,False,0.44307153543933314,none
750101310014,VHSA,A-Z,2026-04-02,3689.0,77,0.03896103896103896,145.18579376631132,1016.3005563641792,1681.3797778497042,25.4088220638016,21,0.0005159122293300067,False,False,False,0.39591570110937546,none
750101310955,CCUL,B-Z,2026-04-02,2.0,1,0.0,0.03318252455156481,0.2322776718609537,2.211912573674956,60.27268952644185,21,0.00025484472603132247,False,False,False,0.38326695993154153,none
750101310471,VHSA,A-Y,2026-04-02,2582.0,78,0.02564102564102564,65.94287031035857,461.60009217250996,841.4401917361288,39.155104833136285,14,0.0001190669413716483,False,False,False,0.4970494495205414,none
750101310482,VHSA,A-Y,2026-04-02,9323.0,308,0.1038961038961039,622.4536669463699,4357.17566862459,5579.963492940436,14.977821635683707,14,4.0580215544983034e-05,False,False,False,0.39774453175399366,none
750101311750,CMTY,B-Z,2026-04-02,3951.0,68,0.029411764705882353,151.15472117468465,1058.0830482227925,1609.7193398347865,26.138779981830382,21,2.861406494680807e-05,False,False,False,0.3641046807065153,none
750101310314,TLJ,A-Y,2026-04-02,137308.0,462,0.030303030303030304,6418.420349099218,44928.94244369453,64096.54272308358,21.392802672899144,14,2.7959994591375548e-05,False,False,False,0.37713704393711067,none
750101310470,VHSA,A-X,2026-04-02,2475.0,79,0.05063291139240506,79.88370351566276,559.1859246096393,896.7602613400777,30.982539505253758,10,2.7161514876916648e-05,False,False,False,0.44114846885054626,none
750101311750,TLJ,B-Z,2026-04-02,5461.0,77,0.0,251.68609420769644,1761.802659453875,2491.08308171266,21.697662785825077,21,1.4220020708610726e-05,False,False,False,0.4126452136950885,none
750101311750,MXLI,B-Z,2026-04-02,5858.0,76,0.013157894736842105,154.96418251016917,1084.7492775711842,1788.2466507675745,37.802283760736664,21,7.676961314873054e-06,False,False,False,0.3535241626039702,none
750101310312,TLJ,A-Y,2026-04-02,161813.0,463,0.038876889848812095,8053.978614803454,56377.850303624175,77023.53053715735,20.0910640242554,14,7.443189763089997e-06,False,False,False,0.38016826367796736,none
750101310342,CMTY,A-Z,2026-04-02,71552.0,425,0.042352941176470586,2275.5542384118194,15928.879668882735,23798.416999885605,31.44376820037407,21,8.119496737180043e-07,False,False,False,0.3586310161867962,none
750101310480,VHSA,A-Y,2026-04-02,12229.0,382,0.04712041884816754,659.9078207318728,4619.35474512311,5951.086397771893,18.53137607376344,14,4.212381700119394e-07,False,False,False,0.4232466472379972,none
750101311750,VHSA,B-Z,2026-04-02,4710.0,75,0.013333333333333334,126.34899350053391,884.4429545037374,1361.7472522904077,37.27770098920572,21,3.408438314922435e-07,False,False,False,0.44753465071090737,none
61300876528,CMTY,A-Y,2026-04-02,37182.0,483,0.008281573498964804,2212.9419415514126,15490.593590859888,19361.10984966188,16.802067556247344,14,2.437653473519319e-07,False,False,False,0.40086509600900966,none
750101310340,CMTY,A-Z,2026-04-02,89095.0,420,0.030952380952380953,2415.1127427335405,16905.789199134782,25726.96185748393,36.89061732959017,21,1.9596679945443896e-07,False,False,False,0.35381970983210753,none
7507891,TLJ,C-Z,2026-04-02,110711.0,462,0.0367965367965368,3635.0394512393987,25445.27615867579,36205.03246028399,30.45661580433525,21,4.565364419839568e-08,False,False,False,0.36003331349584783,none
750101310448,CCUL,A-Z,2026-04-02,1801.0,56,0.0,1.5691324373340847,10.983927061338592,36.892345597420565,1147.7680004243953,21,3.4410623683811536e-08,False,False,False,0.5549493834073227,none
