upc,cedis,h,target_week,q05,q10,q50,q90,q95,model,origin,n_weeks_at_origin,origin_label,cluster,is_discontinued,is_high_promo,is_cold_start
750101310315,CCUL,1,2026-04-06,5780.179736416455,6309.978620824956,7590.585474594895,9995.89979766871,10532.305281146717,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,CCUL,2,2026-04-13,6210.531286758384,6333.427432946726,8568.8819100376,10560.333134333776,10634.36882613942,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,CCUL,3,2026-04-20,6037.3899268776295,6214.428521841836,8738.20453708747,10684.006379413742,10917.9611307081,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,CCUL,4,2026-04-27,6010.582690927537,6065.100250032986,8205.15336005332,11657.604903934749,11696.27786928429,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,CCUL,5,2026-05-04,4257.724642517197,4823.176123673577,6496.776264502823,10014.048488016233,10645.523776609807,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,CCUL,6,2026-05-11,3981.9210157963953,4458.766102423353,6450.376444925018,10324.777959315357,10916.999299394898,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,CCUL,7,2026-05-18,4441.679665682276,5269.108170029606,6086.798952362344,7445.258335330965,8938.038119395369,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,CCUL,8,2026-05-25,4086.6913939599976,5113.87175680979,5975.533959659469,7610.368458956755,9278.293857399018,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,CMD2,1,2026-04-06,21729.774423068655,21851.922775794315,30715.393942736544,36081.57269373435,36495.73594689692,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,CMD2,2,2026-04-13,21217.60913404553,21337.264078509037,29842.732843240967,37424.0171733201,37922.24312477728,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,CMD2,3,2026-04-20,21284.981678696087,21659.47204648198,30903.001808654994,36715.078157755765,38955.740611210145,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,CMD2,4,2026-04-27,21023.278298167574,21428.177555786344,30036.06738407262,41346.39526684637,41984.32122906489,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,CMD2,5,2026-05-04,14551.663103137314,15444.93185984932,20937.556241594943,35285.64043715398,37605.28672281744,lgbm,2026-03-30,107,final,A-Y,False,False,False
