model,cluster,fold,n,wape,mape,bias,pinball,coverage_90,coverage_80,width_rel
ets,C-Z,3,48,0.15883675946969203,0.19002011443018993,0.01039885914983118,0.06531637277362849,1.0,1.0,1.9335272971967885
ets,C-Z,4,48,0.35335634137426186,0.5375472767371271,0.2461357407876378,0.09184392543958833,1.0,0.9375,1.7652474116355799
ets,C-Z,5,48,0.3569266604251907,0.3363410642661353,-0.2858054002407801,0.0814985174967863,1.0,1.0,2.55794644156942
ets,C-Z,6,48,0.107024951228974,0.0937552989810241,0.03569650967730047,0.05118419496480601,1.0,1.0,1.6289628123629782
ets,C-Z,7,48,0.12213461865864689,0.1312778445947109,0.06534425354277457,0.05148584188247698,1.0,1.0,1.5100782550553848
lgbm,A-X,0,48,0.11517872524095102,0.15894704247386413,0.09176813095945846,0.03427097793105496,0.7708333333333334,0.6875,0.4026237322767541
lgbm,A-X,1,48,0.11068378225107879,0.11845504679496165,-0.03606305375287374,0.03227529027750063,0.75,0.6041666666666666,0.3808519100373764
lgbm,A-X,2,48,0.17811067902086788,0.15526207136374243,-0.16904398382203073,0.05825524359906507,0.625,0.3958333333333333,0.3783461342091464
lgbm,A-X,3,48,0.12264406047447195,0.11880646859653272,-0.06967791457993282,0.031658122965216744,0.875,0.7083333333333334,0.5156997861463608
lgbm,A-X,4,48,0.13024211227267946,0.13777042807946283,-0.019601084940576226,0.03211853412000236,0.875,0.6875,0.4858945192819757
lgbm,A-X,5,48,0.10068703152486384,0.11237016734532279,-0.05311164886382662,0.03579466885223127,0.7291666666666666,0.5833333333333334,0.5482939287212256
lgbm,A-X,6,48,0.11091675475289221,0.13518602065010696,0.04520566921142673,0.02643317309626328,0.8958333333333334,0.7916666666666666,0.5147752231757576
lgbm,A-X,7,48,0.13097744210910514,0.1558278476894355,-0.04093718527613057,0.03897532362367353,0.7291666666666666,0.6666666666666666,0.3655694605388493
lgbm,A-Y,0,912,0.1736006577689145,0.2835434767910183,0.061633490438923924,0.056201545157558194,0.6107456140350878,0.4583333333333333,0.455648677997991
lgbm,A-Y,1,912,0.3113582966282987,0.2526724396627211,-0.21952382059271058,0.11876967752943787,0.5548245614035088,0.3333333333333333,0.4222415074023014
lgbm,A-Y,2,912,0.1742915492794542,0.1668021226774733,-0.08893953679221675,0.05379290162159741,0.7192982456140351,0.5570175438596491,0.49832640961491576
lgbm,A-Y,3,912,0.14696970128395911,0.15068866077579998,0.011548209259701882,0.03731564125924848,0.8640350877192983,0.6589912280701754,0.47044281222610157
lgbm,A-Y,4,912,0.16689394190939788,0.20781811823910157,0.02290712328989807,0.04257757844906574,0.6721491228070176,0.4758771929824561,0.4588449591660344
lgbm,A-Y,5,912,0.1433541229570069,0.1966666541575812,-0.0007771084762937107,0.041810426340276326,0.6403508771929824,0.5032894736842105,0.46375719676351473
