model,cluster,h,n,wape,mape,bias,pinball,coverage_90,coverage_80,width_rel
ma4,B-Y,4,256,0.19117001232408892,0.1704448609002725,-0.022806894188976655,0.05471299558670321,0.9296875,0.86328125,1.0841285590706318
ma4,B-Y,5,256,0.20331435691527971,0.20535974512304672,-0.042166213097664815,0.0566589416888942,0.9453125,0.87109375,1.1680875286468648
ma4,B-Y,6,256,0.27793868373675273,0.20069381949209777,-0.12675150539993915,0.07923394913448219,0.93359375,0.859375,1.2333608157908942
ma4,B-Y,7,256,0.2552380839320429,0.21626965087074157,-0.12234007979750511,0.07110839992909586,0.9140625,0.83203125,1.265291616336694
ma4,B-Y,8,256,0.23801489839484335,0.20363312827458174,-0.13021837337609166,0.07039157125742251,0.875,0.8203125,1.298601507911367
ma4,B-Z,1,710,0.12028835501439075,0.2800724261096217,-0.01380142692638283,0.03479410046737933,0.8802816901408451,0.7830985915492957,0.6020545945272481
ma4,B-Z,2,710,0.149050916002947,0.5108896202951894,-0.024623119397444947,0.04511692401806768,0.8633802816901408,0.776056338028169,0.6838880807267542
ma4,B-Z,3,710,0.15934300906680254,0.4475069861709392,-0.028969238274522965,0.044372161983258454,0.8774647887323944,0.7830985915492957,0.7602042413893009
ma4,B-Z,4,710,0.1339804343174827,0.4545253961726483,-0.02587659322845233,0.036930465953391375,0.9154929577464789,0.8408450704225352,0.8103655618051193
ma4,B-Z,5,710,0.15902695623222818,0.5034501090783533,-0.03421360435216995,0.044673275011570424,0.9028169014084507,0.8084507042253521,0.8705521916501848
ma4,B-Z,6,710,0.17974513378430118,0.8194434530275309,-0.05107037865666709,0.05287255914015722,0.8633802816901408,0.7845070422535211,0.8833016822999638
ma4,B-Z,7,710,0.1770794888055256,0.7644010978726249,-0.04103573618100465,0.05064697012469006,0.8690140845070422,0.7746478873239436,0.8973792385960984
ma4,B-Z,8,710,0.1852701099860073,0.7901442671729899,-0.06275027288689317,0.0497983851329748,0.8788732394366198,0.7816901408450704,0.9306224919677185
ma4,C-Z,1,48,0.20159552829108207,0.23300144843224854,-0.07342189938904256,0.058246853088145145,1.0,0.9375,1.557326420899645
ma4,C-Z,2,48,0.20108341752543274,0.2727967601235613,-0.05263508435624326,0.06733324297806646,1.0,1.0,1.867148428245752
ma4,C-Z,3,48,0.19843207259957124,0.2404340843653724,-0.03566230553031741,0.07385318380107644,1.0,1.0,2.058309379361204
ma4,C-Z,4,48,0.23896733219967942,0.2732862514497495,-0.11762585363053615,0.07669219087100583,1.0,1.0,2.195197289606946
ma4,C-Z,5,48,0.2528689330275673,0.3000566878493715,-0.14344016045695815,0.07815773485211261,1.0,1.0,2.1648082535372106
ma4,C-Z,6,48,0.27347767532054074,0.3530346209997379,-0.14529724958537346,0.08186658296402073,1.0,1.0,2.226668152650328
ma4,C-Z,7,48,0.24814345791749337,0.28119849945351255,-0.09302999295603818,0.08597533812468929,1.0,1.0,2.3780951411287656
ma4,C-Z,8,48,0.25745183513944164,0.26468997972331726,-0.1623282463731088,0.08317703225426201,1.0,1.0,2.4254879762933763
seasonal_naive,A-X,1,48,0.34672677049319844,0.40735102948531815,0.3256566511766088,0.07318813002835763,0.7291666666666666,0.625,0.5687919351263369
seasonal_naive,A-X,2,48,0.2997908519271189,0.34802049685833797,0.2594293450739181,0.06019369699516587,0.8125,0.6875,0.6665341556060073
seasonal_naive,A-X,3,48,0.3099066193491896,0.3644700051843115,0.20883443718296027,0.07250353829350172,0.7083333333333334,0.5833333333333334,0.6227964165356883
seasonal_naive,A-X,4,48,0.32962027757531626,0.42038426315265465,0.2728000095682752,0.08182410951940863,0.7083333333333334,0.6041666666666666,0.5829791440652192
seasonal_naive,A-X,5,48,0.333334945266589,0.42901789001889146,0.3032699553447701,0.07697278563636153,0.7291666666666666,0.625,0.5879066041485642
seasonal_naive,A-X,6,48,0.28889281935901695,0.34017698894171894,0.23325500924749462,0.0646776385998713,0.75,0.6458333333333334,0.6802810637453183
seasonal_naive,A-X,7,48,0.28195386430409664,0.32737582834016493,0.1760233020068048,0.07263467312632162,0.7083333333333334,0.6041666666666666,0.6079726305076387
seasonal_naive,A-X,8,48,0.2873516653832797,0.34522011389448765,0.1801093734102378,0.08040000815523449,0.6458333333333334,0.5625,0.5999660197181285
seasonal_naive,A-Y,1,912,0.5709277719427883,0.5293006112911685,0.5206693428929903,0.11781017773882074,0.8201754385964912,0.7149122807017544,1.0710407622995826
seasonal_naive,A-Y,2,912,0.5311542997608535,0.5077388444505606,0.4664551063774843,0.10910952502962923,0.8081140350877193,0.6951754385964912,1.077542378043526
seasonal_naive,A-Y,3,912,0.579527250319043,0.5093206181828328,0.533260438814664,0.11380642574531744,0.8114035087719298,0.6951754385964912,1.077711994015531
seasonal_naive,A-Y,4,912,0.6907905276377933,0.609063335290917,0.6457031437608006,0.1385242445890837,0.7478070175438597,0.6600877192982456,1.0343667876914795
seasonal_naive,A-Y,5,912,0.6032211774459373,0.5639674057855328,0.5472050418717729,0.1268896278890304,0.7719298245614035,0.6776315789473685,1.050437588315261
seasonal_naive,A-Y,6,912,0.5552980963283917,0.5219512235136178,0.48797349774273313,0.1158842080789747,0.7543859649122807,0.6491228070175439,1.0633811716826025
seasonal_naive,A-Y,7,912,0.6261646030271842,0.5174651156186085,0.5762256817000985,0.12478844469142221,0.7598684210526315,0.6282894736842105,1.046241037014066
seasonal_naive,A-Y,8,912,0.6609598683453036,0.535040606061034,0.6150737114702419,0.13129100900113336,0.7456140350877193,0.6359649122807017,1.003651272991883
seasonal_naive,A-Z,1,640,0.7623393868688506,76.8940821007088,0.6073557340491699,0.17938342787163933,0.7875,0.66875,1.0806867638333137
seasonal_naive,A-Z,2,640,0.6703272638247166,34.52483455753919,0.49396864591053796,0.1539830356903286,0.76875,0.665625,1.0908121534206923
seasonal_naive,A-Z,3,640,0.668957640787056,58.118699934417926,0.5149512485585402,0.15119987684954828,0.7375,0.6421875,1.0879258243287528
seasonal_naive,A-Z,4,640,0.7437356096227329,67.74782267385542,0.5693813067223327,0.19953927915615655,0.74375,0.6484375,1.0840112438938374
seasonal_naive,A-Z,5,640,0.6935975245082872,78.32651837922309,0.49918377870004144,0.19058070162621718,0.7296875,0.6296875,1.0860805275175556
seasonal_naive,A-Z,6,640,0.6282768901913185,33.98644658501351,0.41292847498620444,0.16519707874342893,0.715625,0.6109375,1.0805286217976087
seasonal_naive,A-Z,7,640,0.6374151297030409,57.62461242532327,0.4527848905234437,0.15855650838420812,0.696875,0.6078125,1.0941090021093731
seasonal_naive,A-Z,8,640,0.6165108733206544,62.653480957303046,0.42457898787084136,0.1566795408900946,0.721875,0.6296875,1.0825666187094791
seasonal_naive,B-Y,1,256,0.2390962340798217,0.40552861275725166,0.2123237308788978,0.07159004519291498,0.79296875,0.68359375,0.8712409854452301
seasonal_naive,B-Y,2,256,0.2512951950893664,0.3829490210602416,0.19395981092382528,0.06980431271450634,0.77734375,0.69140625,0.8423495891783865
seasonal_naive,B-Y,3,256,0.26444629358962385,0.3767613153061685,0.20883736434957348,0.07408055564851714,0.77734375,0.62890625,0.8456577528706339
seasonal_naive,B-Y,4,256,0.2181968458271348,0.3597735753076161,0.16789133368415862,0.060653760874792476,0.77734375,0.671875,0.8565799813834694
seasonal_naive,B-Y,5,256,0.23224282810543545,0.40503606716659446,0.17246847531595297,0.07267181637504379,0.75,0.65625,0.8648625576844887
